id,name,description,url,notes,adoption_level_id,readiness_level_id,governance_id,created_at,updated_at,slug,tag_list
23,HIRMEOS OA Metrics,"Born out of the OPERAS project: European Research Infrastructure for the development of open scholarly communication in the social sciences and humanities; HIRMEOS seeks to build functionality for research monographs in the European open-science infrastructure. This metrics project normalizes book identifiers (ISBNs, DOIs), provides modular ""drivers"" to gather various metrics (Google Analytics, JSTOR, COUNTER, etc.) and altmetrics (social media sources), and then aggregates these so publishers have access to usage and traffic data on ebooks. The usage data code has been developed by the UK-based Open Book Publishers. Altmetrics code has been developed by Ubiquity Press.",https://metrics.operas-eu.org/docs/getting-started,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hirmeos_oa_metrics,
24,HTML,,,,5,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,html,
25,Hugo,"Hugo is one of the most popular open-source static site generators. With its amazing speed and flexibility, Hugo makes building websites fun again.",https://gohugo.io,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hugo,
26,Hy-phen,Hy­-phen is a JavaScript implementation of Francis Liang's TeX hyphenation algorithm.,https://github.com/ytiurin/hyphen,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hy-phen,
27,Hyku,"The Digital Public Library of America (DPLA), Stanford University and DuraSpace partnered to extend the existing Samvera community (formerly ""Hydra project"") codebase and its vibrant and growing community to build, bundle, and promote a feature-rich, robust, flexible digital repository that is easy to install, configure, and maintain. Initially developed under the “Hydra-in-a-Box” label, the product of this collaborative effort is Hyku, a next-generation repository solution. Hyku works for institutions large and small, incorporating the capabilities and affordances to support networked resources and services in a shared, sustainable, national platform. The overall intent is to develop a digital collections platform that is not just ""on the web,"" but ""of the web."" With funding from the Institute of Museum and Library Services, the collaborative project kicked off in 2015. In 2017, Hyku entered beta, and in February 2019, it was promoted out of Samvera Labs. Ongoing development of Hyku is guided by the Samvera community via the Hyku Interest Group and associated partners.",https://hyku.samvera.org,,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hyku,
28,HykuUP,"HykuUP opens the door to digital repository resources for your institution. Hyku is a user-friendly, feature rich application that connects libraries, museums, and other institutions to Samvera digital repository software. HykuUP boxes the benefits of Hyku into a hosted, easy-to-manage package that can be uniquely customized for your organization.",https://www.hykuup.com,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hykuup,
29,Hyphenopoly,"Hyphenopoly is a JavaScript library for providing robust hyphenation in HTML, especially while hyphenation remains patchily supported by web browsers, especially across multiple languages. Hyphenopoly provides hyphenation dictionaries and algorithms derived from Francis M Liang's classic TeX hyphenation algorithm. Hyphenopoly can be dropped in to any website. Hyphenopoly supercedes an earlier JS system Hyphenator.",http://mnater.github.io/Hyphenopoly/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hyphenopoly,
30,Hypher,Hy­pher is a hy­phen­ation en­gine writ­ten in JavaScript for web browsers using jQuery. It comes with hy­phen­ation dic­tio­nar­ies for more than 30 lan­guages.,http://www.bramstein.com/working/,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hypher,
31,Hypothesis,"A conversation layer over the entire web that works everywhere, without needing implementation by any underlying site.",https://web.hypothes.is,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hypothesis,
32,Hyrax,Samvera provides a framework for building web applications on top of a repository back-end and a search index.,https://hyrax.samvera.org,Samvera and Hyrax are [described here](https://hyrax.samvera.org/about/) and also https://github.com/samvera/hyrax/wiki/Hyrax-Management-Guide,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,hyrax,
33,Invenio,,https://invenio-software.org/products/framework/,,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,invenio,
34,Janeway,"Janeway is journal management software developed by the Birkbeck Centre for Technology and Publishing for the Open Library of Humanities (OLH) at Birkbeck, University of London. Janeway integrates Crossref, iThenticate, Portico, and CLOCKSS services to provide a full-featured OA journal publishing platform. Janeway is a Django-based web application.",https://janeway.systems/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,janeway,
35,JATS,"JATS is an application of NISO Z39.96-2019, which defines a set of XML elements and attributes for tagging journal articles and describes three article models.",https://jats.nlm.nih.gov,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,jats,
36,Java,,,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,java,
37,Javascript,,,,5,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,javascript,
38,Jupiter Notebook,"Jupyter Notebook is a web-based notebook environment for interactive computing, part of the mutifacted Project Jupyter (formerly iPython) which seeks to provide an open platform and toolkit for interactive and reproducible computing. It is a browser-based application that facilitates creation and sharing of documents that contain live code (over 40 programming languages), equations, visualizations, and narrative text. Jupyter Hub is a multi-user version for classrooms and labs. JupyterLab, released in 2018, provides a modern web-based user interface for Jupytern Notebooks. Jupyter's file format is a JSON document with hooks to interactive runtime kernels for specific languages and connections to big data sources.",http://jupyter.org/,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,jupiter_notebook,
39,KaTeX,KaTeX is a LaTeX-based typesetting tool for mathematical expressions developed by the Khan Academy. It is billed as the fastest math typesetting library for the web because it renders math in real time without the need to reflow the page. It is self-contained with no dependencies and can run server-side or in the browser.,https://katex.org/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,katex,
40,Linked Data Notifications,Linked Data Notifications is a general purpose notification protocol whereby any resource can advertise an inbox to which notifications pertaining to that resource can be posted.,https://www.w3.org/TR/ldn/,,3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,ldn,
41,le-tex Transpect,"le-tex Transpect is an XProc- and XSLT-based framework and suite of modules for managing, schema checking, and converting from/to XML-based formats such as .docx, IDML, EPUB, HTML, DocBook, TEI and JATS. le-tex Transpect also provides a framework for combining modules into publishing workflows with revision control and custom, cascade-based configuration. le-tex Transpect can run standalone or integrated into publishing workflows. A simple upload interface and an HTTP API is available, as is hosted operation and maintenance agreements for professional use.",https://transpect.github.io/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,le-tex_transpect,
42,Lens,"Lens is an online article-reading environment developed by eLife that—by treating a JATS journal article as a database—makes it possible to explore figures, figure descriptions, references and more without losing one's place in the article text. Lens was designed using the Substance libraries. Much of its functionality is now in eLife's Libero Producer tool.",https://lens.elifesciences.org/about/#info/all,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,lens,
43,Libero Producer,"Libero Producer is the first of three journal publishing modules developed by eLife. Libero Producer is based on Substance.io's Texture editor which provides a visual, browser-based JATS XML editing and viewing interface.",https://libero.pub/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,libero_producer,
44,Libero Publisher,"Libero Publisher is the third of three journal publishing modules developed by eLife. Libero Publisher provides post-production hosting, publication, and journal management functions, including dashboards, ElasticSearch, and APIs for third-party integration.",https://libero.pub/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,libero_publisher,
45,Libero Reviewer,Libero Reviewer is the second of three journal publishing modules developed by eLife. Libero Reviewer handles article submission and peer review workflow management. It is built on the Coko Foundation's PubSweet framework and was designed in collaboration with Coko and Hindawi.,https://libero.pub/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,libero_reviewer,
46,Lodel,Lodel is the journal publishing software for the French OpenEdition publishing platform. It provides content management and import/conversion to bring word processor documents into an XML-based article production environment.,http://www.lodel.org/index.html,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,lodel,
47,Manifold Scholarship,"Manifold is a collaborative, web-based scholarly publishing system designed by the University of Minnesota Press and the CUNY Graduate Center. Manifold provides a dynamic approach to publishing book-length works capable of gathering commentary, annotation, and revisions within the publication. Built to publish long-form digital monographs, Manifold is also used in service of open educational resources, journals, and collaborative scholarly projects. Tt is currently used by twenty-eight publishers, including the University of Minnesota Press, the City University of New York, and the University of Arizona Press, as well as digital humanities centers and teaching and learning centers.",https://manifoldapp.org/,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,manifold_scholarship,
48,MathJax,"MathJax is a JavaScript display engine for mathematics typesetting that works in web browsers. It provides support for LaTeX, MathML, and AsciiMath in the  web based interace. MathJax has a modular design; it is designed for accessibility and interoperability with other applications.",https://www.mathjax.org/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,mathjax,
49,Mukurtu,"Mukurtu is a content management system developed by Washington State University to serve as a repository for Indigenous communities to manage, share, and exchange their digital heritage in culturally relevant and ethically minded ways. Mukurtu has innovated significantly in developing access-oriented metadata that goes beyond typical OA ideals to support fine-grained Traditional Knowledge access protocols.",http://mukurtu.org/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,mukurtu,
50,OAI-PMH,The Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH) is a low-barrier mechanism for repository interoperability.,https://www.openarchives.org/pmh/,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,oai-pmh,
51,Open Journal System,Open Journal Systems (OJS) is a journal management and publishing system that has been developed by the Public Knowledge Project through its federally funded efforts to expand and improve access to research.,https://pkp.sfu.ca/ojs/,https://github.com/pkp/ojs,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,ojs_3,
52,Omeka,"Omeka is a web-based platform for creating and sharing digital collections and creating media-rich online exhibits. Initially developed at George Mason University and sustained by the Corporation for Digital Scholarship, Omeka has been primarily targeted towards libraries, museums, historical societies, and the like. Omeka enables institutions to publish collections and narrative exhibits to the web easily, but its publishing features, standards-based metadata, collection management, and authoring tools make it a publishing system more generally. Omeka S, a newer variant than Omeka Classic, supports multiple publications from a single installation, with a linked open data infrastructure.",https://omeka.org/,,4,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,omeka,
53,Open Monograph Press,"Open Monograph Press (OMP) is a book-oriented workflow manager and online publishing platform. Developed by the Public Knowledge Project, it shares its codebase with Open Journal Systems. OMP can handle monographs and edited volumes with multiple authors, as well as manage author submissions, editor assignments, reviewers, indexers, and others in book production. OMP is one of very few open-source tools that produce the trade-industry standard ONIX metadata. Its public-facing side can feature thumbnail covers in a vatalog view, as well as Spotlight marketing features.",https://pkp.sfu.ca/omp,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,open_monograph_press,
54,Open Typesetting Stack,"Open Typesetting Stack (OTS) is an article conversion/ingest service developed by the Public Knowledge Project to convert word-processor and PDF versions of articles into JATS XML for publication. OTS integrates a host of other parsing and conversion tools (including the machine-learning tool Grobid) and external services to provide the most accurate possible XML without additional user input. This service—and its OJS plugin integration—is intended to decrease the labour involved in production, and to facilitate the creation of archive-friendly and web-native article formats. OTS is in maintenance mode as of this writing.",https://pkp.sfu.ca/open-typesetting-stack/,,3,8,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,open_typesetting_stack,
55,OSF Preprints,Branded preprint servers backed by the OSF.,https://osf.io/preprints/,"https://github.com/CenterForOpenScience/ember-preprints,not_classified
https://docs.google.com/spreadsheets/d/1SocElbBjc_Nhme4-SJv2_zytBd1ys8R5aZDb3POe94c/edit#gid=1340026270",3,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,osf_preprints,
56,paged.js,"Paged.js is a comprehensive print-oriented production system that runs on CSS and JavaScript in a web browser. Developed by the PagedMedia initiative, it aims to offer a best-of-breed CSS-based typesetter as open-source software. It can display both paginated output and editable CSS on a page so that the CSS can be tweaked and changes can be viewed in real time.",https://www.pagedmedia.org/paged.js,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,paged_js,
57,Pandoc,"Pandoc is a robust, multi-format document conversion tool that can read from and write to a vast number of file formats. Pandoc can work with a range of markup formats, markdown, word-processor files, and it supports integration with tools like LaTeX and reference managers, as well as a host of web-based formats. Several different input and exports formats for math are handled, including MathJax, LaTeX, and translation to MathML. Pandoc also includes a powerful system for automatic citations and bibliographies. Pandoc is usable as a command-line tool as well as an integrated library, and is used in several other publishing toolkits.",https://pandoc.org/,,5,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,pandoc,
58,Paperbuzz,"Paperbuzz is a tool that calculates metrics from Crossref Event Data: sharing, linking, and referencing articles online. Paperbuzz is developed and maintained by Our Research with the support of the Public Knowledge Project (PKP). Paperbuzz offers an API that is used by PaperbuzzViz, a JavaScript library to visualize the metrics and by the Paperbuzz OJS Plugin that brings these visualization to OJS article pages, both of which are developed and maintained by PKP.",https://www.paperbuzz.org/,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,paperbuzz,
59,Peer Community In,A free recommendation process of scientific preprints (and published articles) based on peer-reviews,https://peercommunityin.org,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,pci,
60,Perl,,,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,perl,
61,Phenom Reviewer,"Phenom Reviewer is Hindawi's article submission and editorial workflow module. It is built on the Coko Foundation’s PubSweet framework, and is designed in collaboration with Coko and eLife. Phenom Reviewer is part of a larger suite of tools in early development, which will comprise ""Producer"" and ""Publisher"" modules similar to eLife's Libero suite.",https://demo.review.hindawi.com,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,phenom_reviewer,
62,Phenom Screener,"Phenom Screener is Hindawi's module that performs ethical and technical checks on article submissions including plagiarism screening, identity verification, materials checking, and fraud prevention.",https://demo.review.hindawi.com,,1,1,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,phenom_screener,
63,PHP,,,,4,10,1,2020-04-16 14:18:28 UTC,2020-04-16 14:18:28 UTC,php,
64,Pressbooks,"Pressbooks is a web-based book editing and production system that exports in multiple formats: ebooks, webbooks, print-ready PDF, and various XML types. The system is built on top of Wordpress, but makes significant changes to the admin interface, presentation layer, and export routines to for web, ebook, and print formats. Pressbooks is widely used in the open textbook and open educational resouces community.",https://pressbooks.com/,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,pressbooks,
65,ProseMirror,"ProseMirror is a JavaScript framework to develop visual text editors online. It can support collaborative editing in real time. It has a modular architecture that makes sure users only load the code they need, and can replace parts of the system as needed. ProseMirror supports extensible document schemas that allow users to edit documents with a custom structure without writing their own editor from scratch. It has a plugin system that allows users to easily enable additional functionality, and package their own extensions in a convenient format. Prosemirror is used by several major online news sources (NYTimes, Guardian), as well as inside tools like PubPub and Coko Foundation's Wax editor.",http://prosemirror.net/,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,prosemirror,
66,PubPub,"PubPub is an online authoring and publishing platform developed by MIT Press and the MIT Knowledge Futures Group. It supports community-based collaborative drafting, review, and publication of scholarly work ""using an integrated and iterative process."" It supports journals, books, lab communications and events. PubPub is designed to be centrally hosted, and PubPub provides publishing services as part of a tiered-price hosting packages.",https://pubpub.org,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,pubpub,
67,PubSweet,"PubSweet is a foundational system developed by Coko as a “component-based framework” upon which to build publishing tools. PubSweet is a simple but flexible way to adapt to different kinds of system needs. For instance, both the book-oriented Editoria and the journal-oriented Libero Reviewer are built on PubSweet foundations. PubSweet’s community includes Hindawi, eLife, Wormbase, Digital Science, and the EBI’s Europe PMC Plus platform.",http://pubsweet.coko.foundation,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,pubsweet,
68,Python,,,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,python,
69,Quire,"Quire is a book production tool developed by the J Paul Getty Trust. It is a multiformat publishing framework that can create digital and print books, such as museum and gallery exhibition catalogues, collected volumes, and scholarly monographs. Quire is designed around the Hugo static-site generator tool, which can compile and export books, working from markdown source. Quire has extensive support for media, including rich image metadata handling. It is currently without an explicit open-source license.",https://github.com/gettypubs/quire,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,quire,
70,R,,,,3,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,r,
71,Readium,"Readium provides a ""set of software building blocks"" for the development of standardized EPUB and web publication reader applications for a variety of contexts—browser-based, mobile app, and desktop. Readium is a set of libraries and frameworks, and also a foundation and international community dedicated to ebook implementation standards.",https://readium.org/,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,readium,
72,Rebus Ink,"Rebus Ink is a web-based digital reading application built to help scholars construct arguments. It's a personal, online workspace that lets you do more with digital texts, focusing on scholarly reading and research, note-taking, citations, and collections management. Rebus Ink is built on open principles: open source, open web, open APIs, with a focus on user-data portability and privacy.",https://rebus.ink/,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,rebus_ink,
73,ResourceSync,This ResourceSync specification describes a synchronization framework for the web consisting of various capabilities that allow third-party systems to remain synchronized with a server's evolving resources. The capabilities may be combined in a modular manner to meet local or community requirements. This specification also describes how a server should advertise the synchronization capabilities it supports and how third-party systems may discover this information. The specification repurposes the document formats defined by the Sitemap protocol and introduces extensions for them.,http://www.openarchives.org/rs/1.1/resourcesync,,3,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,resourcesync,
74,Rua,"Rua is a book publishing workflow management application developed by Ubiquity Press and is ""designed to assist with the monograph publishing life cycle"" from proposal to publication. Rua forms the core of the Ubiquity Book Manager service. Rua is designed around the Django framework.",https://github.com/ubiquitypress/rua,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,rua,
75,Ruby,,,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,ruby,
76,Rust,,,,3,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,rust,
77,Samvera,The Samvera software offers flexible and rich user interfaces tailored to distinct content types on top of a robust back end – giving adopters the best of both worlds.,https://samvera.org,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,samvera,
78,Scalar,"Scalar is a multimedia authoring and publishing platform developed by the Alliance for Networking Visual Culture at University of Southern California. Scalar is designed for long-form, digital native scholarly research. Scalar enables users to assemble media from multiple sources and juxtapose them with text in a variety of ways with minimal technical expertise required. The platform also supports collaborative authoring workflows and reader commentary.",https://scalar.me/anvc/,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,scalar,
79,Scholastica,"Professional peer review and open access publishing solutions for journal programs of any size.,not_classified
",https://scholasticahq.com,,1,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,scholastica,
80,Shiny,Shiny is an authoring and editorial development software developed by RStudio. It allows users to interact with web-based interactive applications that contain data and analysis using R. Shiny can create standalone apps on a webpage or embed them in R Markdown documents or build dashboards. Shiny requires only a R installation and a web browser.,https://shiny.rstudio.com,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,shiny,
81,Solid,"Solid is a set of modular specifications, which build on, and extend the founding technology of the world wide web (HTTP, REST, HTML). They are 100% backwards compatible with the existing web. Each spec, taken in isolation, provides extra features to an existing system.  However, when used in combination, they enable exciting new possibilities for web sites and applications.",https://solid.inrupt.com,,3,8,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,solid,
82,Solr,"Solr is highly reliable, scalable and fault tolerant, providing distributed indexing, replication and load-balanced querying, automated failover and recovery, centralized configuration and more. Solr powers the search and navigation features of many of the world's largest internet sites.",https://lucene.apache.org/solr/,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,solr,
83,Stencila,"Stencila is an authoring and editorial development software developed by Code for Science & Society. It provides an integrated word processor, coding (R, Python, and SQL), and spreadsheet interface in the browser, and the resulting interactive document (using the same  file format used by the Texture editor, with which Stencila shares code) is shareable and publishable. Stencila's ""Converters"" module is a Pandoc-based collection of import and export routines. eLife's ""Reproducable Document Stack"" initiative is based on Stencila.",https://stenci.la,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,stencila,
84,SWORD,SWORD (Simple Web-service Offering Repository Deposit) is a lightweight protocol for depositing content from one location to another. It stands for Simple Web-service Offering Repository Deposit and is a profile of the Atom Publishing Protocol.,http://swordapp.org/about/,,4,10,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,sword,
85,Tectonic,"Tectonic is a modern LaTeX typesetting application, designed to be self-contained and easy to install. It automatically downloads support files so users don’t have to install a full LaTeX system in order to start using Tectonic. Tectonic can use modern OpenType fonts and is fully Unicode-enabled.",https://tectonic-typesetting.github.io/en-US/,,1,1,1,2020-04-16 14:18:29 UTC,2020-04-16 14:18:29 UTC,tectonic,
