id,name,description,url,codebase,notes,adoption_level,readiness_level,governance,business_form,slug,base_tech_list,depended_on_by,depends_on,functions,categories,hosting,pricing,release cycle,roadmap,status,licensing
13,Eprints,EPrints is a free and open-source software package for building open access repositories.,https://www.eprints.org/uk/index.php/services/repository-hosting-0/,https://github.com/eprints/eprints,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,eprints,"perl, javascript, xslt",,,"discovery, publishing, submission",application,"self-hosted, hosted (SaaS) version available via ePrints Services",free to use self-hosted version,,https://www.eprints.org/uk/index.php/technical-roadmaps/,actively_maintained,https://www.gnu.org/licenses/agpl-3.0.en.html
14,epub.js,"epub.js is a JavaScript library that provides a robust drop-in EPUB reader application to any website, providing styling, pagination, and persistence. The project comes from FuturePress, an offshoot of the UC Berkeley School of Information.",http://futurepress.org/,https://github.com/futurepress/epub.js,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_academic,epub_js,javascript,,,"formatting, reader_tools",component,N/A,free to use,,,actively_maintained,https://opensource.org/licenses/BSD-3-Clause
15,Fedora,"Fedora is a modular, open source repository system for the management and dissemination of digital content.",https://duraspace.org/fedora/,https://github.com/fcrepo4/fcrepo4,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,fedora,java,Samvera,,"discovery, publishing, ingest, preservation","application, service",self-hosted,free to use,https://fedoraproject.org/wiki/Fedora_Release_Life_Cycle,,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
16,Fidus Writer,"Fidus Writer is a web-based, collaborative editor made for academics who need to use citations and/or formulas. Fidus Writer offers a visual editing interface, real-time editing collaboration, a commenting/review workflow system, and a variety of export formats. Fidus provides hosting and styled templates for a monthly fee.",https://www.fiduswriter.org/,https://github.com/fiduswriter/fiduswriter,,not_classified,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,commercial_vendor,fidus_writer,"python, node.js",,,"annotation, creation, social, workflow",,self-hosted,Subscription fee ($39.95 USD annually),,,actively_maintained,https://www.gnu.org/licenses/agpl-3.0.en.html 
17,Fulcrum,"Fulcrum is the University of Michigan Library's ebook hosting, preservation, and media integration platform, devloped on top of the Samvera repository platform. Fulcrum allows authors and publishers to integrate multimedia elements into a bookâ€”linked from a print book or directly integrated in an ebookâ€”while providing a robust, richly described, and accessible reader environment and a discoverability platform for ebook collections. Fulcrum is a platform available to UMichigan Press authors, as well as a service offered to other publishers. Fulcrum makes use of epub.js, AblePlayer, Hypothes.is, and Editoria (in testing) to provide basic and enhanced functionality.",http://fulcrum.org,https://github.com/mlibrary/heliotrope,"owner of the product is non-profit but the product, Fulcrum is for fee. is the governance category correct? IH",limited,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,fulcrum,"javascript, ruby",,Samvera,"annotation, discovery, preservation, reader_tools, publishing",application,fully managed hosting via Fulcrum.org,"Services fee (starting at $2,500 USD for a single title)",,,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
19,Grobid,"GROBID (or Grobid) stands for GeneRation Of BIbliographic Data. It is a machine-learning library for extracting, parsing, and re-structuring journal articles in PDF format into structured TEI-encoded documents that can then be transformed to JATS XML.",https://grobid.readthedocs.io/en/latest/Introduction/,https://github.com/kermitt2/grobid/,,not_classified,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,grobid,"java, javascript",,,format_conversion,component,self-hosted,free to use,,,actively_maintained,http://www.apache.org/licenses/LICENSE-2.0.html
20,Haplo Repository,Haplo is an open source repository platform for research outputs.,https://www.haplo.com/repository,https://github.com/haplo-org/haplo,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,haplo_repository,"ruby, javascript, java",,,"discovery, publishing, submission, ingest",application,"self-hosted, hosted (SaaS) version available",free to use self-hosted version,,,actively_maintained,https://www.mozilla.org/en-US/MPL/2.0/
22,Heliotrope,"Heliotrope is the codebase behind the Fulcrum publishing platform. It is a Rails application that extends the Hyrax front-end repository solution from the Samvera open source community to provide solutions for scholarly publishers. It is built by the University of Michigan Library and managed by the Library's publishing division, Michigan Publishing.",https://github.com/mlibrary/heliotrope,,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,heliotrope,"javascript, ruby",,Samvera,,framework,self-hosted,free to use,,,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
23,HIRMEOS OA Metrics,"Born out of the OPERAS project: European Research Infrastructure for the development of open scholarly communication in the social sciences and humanities; HIRMEOS seeks to build functionality for research monographs in the European open-science infrastructure. This metrics project normalizes book identifiers (ISBNs, DOIs), provides modular ""drivers"" to gather various metrics (Google Analytics, JSTOR, COUNTER, etc.) and altmetrics (social media sources), and then aggregates these so publishers have access to usage and traffic data on ebooks. The usage data code has been developed by the UK-based Open Book Publishers. Altmetrics code has been developed by Ubiquity Press.",https://www.hirmeos.eu/,https://github.com/hirmeos,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,hirmeos_oa_metrics,"javascript, python, php",,,metrics,component,self-hosted,free to use,,https://www.hirmeos.eu/project-deliverables/,actively_maintained,https://opensource.org/licenses/MIT 
25,Hugo,Hugo is a static HTML and CSS website generator written in Go. Hugo takes a directory with content and templates and renders them into a full HTML website.,https://gohugo.io,https://github.com/gohugoio/hugo,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,volunteer_community,hugo,go,,,publishing,service,self-hosted,free to use,,https://gohugobrasil.netlify.app/about/roadmap/,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
26,Hy-phen,Hy-phen is a JavaScript implementation of the TeX hyphenation algorithm.,https://github.com/ytiurin/hyphen,https://github.com/ytiurin/hyphen,,not_classified,tr9_actual_system_proven_in_operational_environment,not_classified,volunteer_community,hy-phen,"javascript, tex",,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/ISC
27,Hyku,Hyku is the official name of the repository product that is a main deliverable of the Hydra-in-a-Box project. Hyku is a flexiblem next-generation digital repository solution.,https://hyku.samvera.org,https://github.com/samvera/hyku,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,hyku,ruby,,Samvera,"discovery, publishing, submission, ingest, preservation",application,"self-hosted, hosted (SaaS) versions available from Notch8 (https://www.hykuup.com/) and Ubiquity Press (https://www.u-repo.io/)",free to use,,,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
28,HykuUP,"HykuUP is a fully-managed (hosted), customizable implementation of the open source Hyku digital repository platform. ",https://www.hykuup.com,,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,hykuup,ruby,,Hyku,"discovery, publishing, submission, ingest, workflow, preservation",application,fully-managed hosting with Notch8,"subscription fee from $9,500 USD annually",,,actively_maintained,
29,Hyphenopoly,"Hyphenopoly is a JavaScript library for providing robust hyphenation in HTML, especially while hyphenation remains patchily supported by web browsers, especially across multiple languages. Hyphenopoly provides hyphenation dictionaries and algorithms derived from Francis M Liang's classic TeX hyphenation algorithm. Hyphenopoly can be dropped in to any website. Hyphenopoly supercedes an earlier JS system Hyphenator.",http://mnater.github.io/Hyphenopoly/,https://github.com/mnater/Hyphenopoly,,not_classified,not_classified,community_ad_hoc,volunteer_community,hyphenopoly,"typescript, javascript",,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
30,Hypher,Hypher is a hyphenation engine written in JavaScript for web browsers using jQuery. It comes with hy,http://www.bramstein.com/working/,https://github.com/bramstein/hypher,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,volunteer_community,hypher,javascript,,,formatting,component,self-hosted,free to use,,,minimally_maintained,https://opensource.org/licenses/BSD-3-Clause
31,Hypothesis,Hypothesis is an open source web annotation tool.,https://web.hypothes.is,https://github.com/hypothesis,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,non_profit_organisation,hypothesis,"python, javascript",,,"annotation, reader_tools",package,hosted at hypothes.is,"free to use browser extension, subscription fee for LMS integration",,https://github.com/hypothesis/product-backlog/projects/6,actively_maintained,https://opensource.org/licenses/BSD-2-Clause
32,Hyrax,"Hyrax is an open-source, Samvera-powered repository front-end.",https://hyrax.samvera.org,https://github.com/samvera/hyrax,Samvera and Hyrax are [described here](https://hyrax.samvera.org/about/) and also https://github.com/samvera/hyrax/wiki/Hyrax-Management-Guide,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,hyrax,"ruby, javascript",,Samvera,"discovery, publishing, ingest, preservation, submission, workflow",application,self-hosted,free to use,"new Hyrax releases every 6-8 weeks, with no more than one major version per year.",https://wiki.lyrasis.org/display/samvera/Hyrax+Roadmap,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
33,Invenio,Invenio is an open source project that was initially developed by CERN. The Invenio brand covers a suite of currently three main products developed by the Invenio community: 1) InvenioRDM - a repository/document management platform 2) InvenioILS - an integrated library system 3) Invenio Framework - a code library to build large-scale information systems such as InvenioRDM and InvenioILS,https://invenio-software.org/products/framework/,,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,non_profit_organisation,invenio,python,,,"discovery, publishing, ingest, submission, workflow","application, framework","self-hosted, fully-managed version available, branded as TIND (https://tind.io/)",free to use,https://invenio.readthedocs.io/en/latest/releases/maintenance-policy.html,https://invenio-software.org/roadmap/,actively_maintained,https://github.com/inveniosoftware/invenio/blob/master/LICENSE
34,Janeway,"Janeway is journal management software developed by the Birkbeck Centre for Technology and Publishing for the Open Library of Humanities (OLH) at Birkbeck, University of London. Janeway integrates Crossref, iThenticate, Portico, and CLOCKSS services to provide a full-featured OA journal publishing platform. Janeway is a Django-based web application.",https://janeway.systems/,https://github.com/BirkbeckCTP/janeway,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,janeway,"python, javascript",,,"publishing, preservation, submission, review",application,"self-hosted, hosted (SaaS) version available through Janeway","free to self-host, hosting starting at £850 GBP annually per journal",,,actively_maintained,https://opensource.org/licenses/AGPL-3.0
35,JATS,"JATS is an application of NISO Z39.96-2019, which defines a set of XML elements and attributes for tagging journal articles and describes three article models. ",https://jats.nlm.nih.gov,,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,non_profit_organisation,jats,xml,,,,standard,,free to use,https://www.niso.org/standards-committees/jats/continuous-maintenance,,actively_maintained,Copyright © 2019 by the National Information Standards Organization
38,Jupyter Notebook,"Jupyter Notebook is a web-based notebook environment for interactive computing, part of the mutifacted Project Jupyter (formerly iPython) which seeks to provide an open platform and toolkit for interactive and reproducible computing. It is a browser-based application that facilitates creation and sharing of documents that contain live code (over 40 programming languages), equations, visualizations, and narrative text.",http://jupyter.org/,https://github.com/jupyter/notebook,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,jupiter_notebook,"javascript, jupyter notebook, python",,,"creation, data_mining",application,self-hosted,free to use,,https://github.com/jupyter/roadmap,actively_maintained,https://opensource.org/licenses/BSD-3-Clause
39,KaTeX,KaTeX is a LaTeX-based typesetting tool for mathematical expressions developed by the Khan Academy. It is billed as the fastest math typesetting library for the web because it renders math in real time without the need to reflow the page. It is self-contained with no dependencies and can run server-side or in the browser.,https://katex.org/,https://github.com/KaTeX/KaTeX,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_non_profit,katex,javascript,,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
40,Linked Data Notifications,Linked Data Notifications is a general purpose notification protocol whereby any resource can advertise an inbox to which notifications pertaining to that resource can be posted.,https://www.w3.org/TR/ldn/,https://github.com/w3c/ldn,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,ldn,HTML,dokieli,,"workflow, reader_tools",standard,self-hosted,free to use,,,actively_maintained,Copyright © 2017 W3C
41,Transpect,"Transpect is an XProc- and XSLT-based framework and suite of modules for managing, schema checking, and converting from/to XML-based formats such as .docx, IDML, EPUB, HTML, DocBook, TEI and JATS. le-tex Transpect also provides a framework for combining modules into publishing workflows with revision control and custom, cascade-based configuration. le-tex Transpect can run standalone or integrated into publishing workflows. A simple upload interface and an HTTP API is available, as is hosted operation and maintenance agreements for professional use.",https://transpect.github.io/,,,not_classified,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,le-tex_transpect,"xslt, xproc",,,format_conversion,component,self-hosted,free to use,,,actively_maintained,http://opensource.org/licenses/BSD-2-Clause
42,Lens,"Lens is an online article-reading environment developed by eLife that ”by treating a JATS journal article as a database”makes it possible to explore figures, figure descriptions, references and more without losing one's place in the article text. Lens was designed using the Substance libraries. Much of its functionality is now in eLife's Libero Editor tool.",https://lens.elifesciences.org/ ,https://github.com/elifesciences/lens,,single,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,lens,javascript,,,"reader_tools, formatting",component,self-hosted,free to use,,,minimally_maintained,https://opensource.org/licenses/BSD-3-Clause
43,Libero Editor,"Libero Editor is the first of three journal publishing modules developed by eLife. Libero Editor is based on Substance.io's Texture editor which provides a visual, browser-based JATS XML editing and viewing interface.",https://libero.pub/,https://github.com/libero/editor,,single,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,libero_producer,typescript,,Texture,"creation, workflow",application,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
44,Libero Publisher,"Libero Publisher is the third of three journal publishing modules developed by eLife. Libero Publisher provides post-production hosting, publication, and journal management functions, including dashboards, ElasticSearch, and APIs for third-party integration.",https://libero.pub/,https://github.com/libero/publisher,,single,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,libero_publisher,typescript,,Texture,"publishing, workflow, formatting, discovery",application,self-hosted,free to use,,https://trello.com/b/0vG7OZb8/libero-publisher-roadmap-public,actively_maintained,https://opensource.org/licenses/MIT 
45,Libero Reviewer,Libero Reviewer is the second of three journal publishing modules developed by eLife. Libero Reviewer handles article submission and peer review workflow management. It is built on the Coko Foundation's PubSweet framework and was designed in collaboration with Coko and Hindawi.,https://libero.pub/,https://github.com/libero/reviewer,,not_classified,tr3_experimental_proof_of_concept,community_formal,fiscal_sponsor_non_profit,libero_reviewer,javascript,,Texture,"workflow, submission, review",application,self-hosted,free to use,,https://trello.com/b/NShRx4VE/libero-reviewer-product-roadmap,actively_maintained,https://opensource.org/licenses/MIT 
46,Lodel,Lodel is the journal publishing software for the French OpenEdition publishing platform. It provides content management and import/conversion to bring word processor documents into an XML-based article production environment.,http://www.lodel.org/index.html,https://github.com/OpenEdition/lodel,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,lodel,php,,,"publishing, format_conversion, submission, creation",application,self-hosted,free to use,,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
47,Manifold Scholarship,"Manifold is a collaborative, web-based scholarly publishing system designed by the University of Minnesota Press and the CUNY Graduate Center. Manifold provides a dynamic approach to publishing book-length works capable of gathering commentary, annotation, and revisions within the publication. Built to publish long-form digital monographs, Manifold is also used in service of open educational resources, journals, and collaborative scholarly projects. Tt is currently used by twenty-eight publishers, including the University of Minnesota Press, the City University of New York, and the University of Arizona Press, as well as digital humanities centers and teaching and learning centers.",https://manifoldapp.org/,https://github.com/ManifoldScholar/manifold,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_academic,manifold_scholarship,"javascript, ruby",,,"publishing, format_conversion, submission, creation, workflow, annotation",application,"self-hosted, hosted (SaaS) version available through Manifold Digital Services","free to self-host, one-time installation for $750, managed hosting for $3120 USD annually",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
48,MathJax,"MathJax is a JavaScript display engine for mathematics typesetting that works in web browsers. It provides support for LaTeX, MathML, and AsciiMath in the web based interace. MathJax has a modular design; it is designed for accessibility and interoperability with other applications.",https://www.mathjax.org/,https://github.com/mathjax/MathJax,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,mathjax,javascript,,,formatting,component,self-hosted,free to use,,https://github.com/mathjax/MathJax/wiki/Mathjax-roadmap,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
49,Mukurtu,"Mukurtu is a content management system developed by Washington State University to serve as a repository for Indigenous communities to manage, share, and exchange their digital heritage in culturally relevant and ethically minded ways.",http://mukurtu.org/,https://github.com/MukurtuCMS/mukurtucms,,significant,tr9_actual_system_proven_in_operational_environment,community_ad_hoc,fiscal_sponsor_academic,mukurtu,"php, javascript",,,"discovery, publishing",application,"self hosted, hosted (SaaS) version available through Reclaim Hosting","free to self-host, managed hosting from $30 USD annually",,https://github.com/MukurtuCMS/mukurtucms/blob/master/ROADMAP.md,actively_maintained,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html
50,OAI-PMH,The Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH) is a low-barrier mechanism for repository interoperability.,https://www.openarchives.org/pmh/,,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,oai-pmh,,,,discovery,standard,,,,,actively_maintained,http://creativecommons.org/licenses/by-sa/3.0/
51,Open Journal Systems,Open Journal Systems (OJS) is an open source software application for managing and publishing scholarly journals. ,https://pkp.sfu.ca/ojs/,https://github.com/pkp/ojs,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,ojs_3,"php, javascript, smarty",,,"publishing, submission, creation, workflow",application,"self hosted, hosted (SaaS) version available through PKP Publishing Services (https://pkpservices.sfu.ca/)","free to self-host, managed hosting from $850 USD annually",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
52,Omeka,"Omeka is a web-based platform for creating and sharing digital collections and creating media-rich online exhibits. Initially developed at George Mason University and sustained by the Corporation for Digital Scholarship, Omeka has been primarily targeted towards libraries, museums, historical societies, and the like. Omeka enables institutions to publish collections and narrative exhibits to the web easily, but its publishing features, standards-based metadata, collection management, and authoring tools make it a publishing system more generally. Omeka S, a newer variant than Omeka Classic, supports multiple publications from a single installation, with a linked open data infrastructure.",https://omeka.org/,https://github.com/omeka/Omeka,,significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,omeka,php,,,"publishing, discovery",application,"self hosted, hosted (Saas) version available through Omeka.net","free to self-host, managed hosting from $35 USD annually",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
53,Open Monograph Press,"Open Monograph Press (OMP) is a book-oriented workflow manager and online publishing platform. Developed by the Public Knowledge Project, it shares its codebase with Open Journal Systems. OMP can handle monographs and edited volumes with multiple authors, as well as manage author submissions, editor assignments, reviewers, indexers, and others in book production. OMP is one of very few open-source tools that produce the trade-industry standard ONIX metadata. Its public-facing side can feature thumbnail covers in a vatalog view, as well as Spotlight marketing features.",https://pkp.sfu.ca/omp,https://github.com/pkp/omp,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,open_monograph_press,"php, javascript, smarty",,,"publishing, submission, workflow, creation",application,"self hosted, hosted (SaaS) version available through PKP Publishing Services (https://pkpservices.sfu.ca/)","free to self-host, managed hosting from $1500 USD annually per press",,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.en.html
54,Open Typesetting Stack,"Open Typesetting Stack (OTS) is an article conversion/ingest service developed by the Public Knowledge Project to convert word-processor and PDF versions of articles into JATS XML for publication. OTS integrates a host of other parsing and conversion tools (including the machine-learning tool Grobid) and external services to provide the most accurate possible XML without additional user input. This service ""and its OJS plugin integration"" is intended to decrease the labour involved in production, and to facilitate the creation of archive-friendly and web-native article formats. OTS is in maintenance mode as of this writing.",,https://github.com/pkp/ots,,limited,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_academic,open_typesetting_stack,"javascript, php",,,"formatting, ingest, format_conversion",component,self-hosted,,,,unsupported,https://www.gnu.org/licenses/gpl-3.0.en.html
55,OSF Preprints,Branded preprint servers backed by the OSF.,https://osf.io/preprints/,https://github.com/CenterForOpenScience/ember-osf-preprints,"
 
 https://docs.google.com/spreadsheets/d/1SocElbBjc_Nhme4-SJv2_zytBd1ys8R5aZDb3POe94c/edit#gid=1340026270",significant,tr9_actual_system_proven_in_operational_environment,community_formal,fiscal_sponsor_non_profit,osf_preprints,"javascript, handlebars",,,"publishing, ingest, preservation, submission, discovery, metrics, workflow",application,"self-hosted, hosted (SaaS) available through OSF",managed hosting from $999 USD annually,,cos.io/products/product-roadmap,actively_maintained,   http://www.apache.org/licenses/LICENSE-2.0
56,paged.js,"Paged.js is a comprehensive print-oriented production system that runs on CSS and JavaScript in a web browser. Developed by the PagedMedia initiative, it aims to offer a best-of-breed CSS-based typesetter as open-source software. It can display both paginated output and editable CSS on a page so that the CSS can be tweaked and changes can be viewed in real time.",https://pagedjs.org,https://gitlab.pagedmedia.org/tools/pagedjs,,significant,tr9_actual_system_proven_in_operational_environment,not_classified,commercial_vendor,paged_js,javascript,,,formatting,component,self-hosted,free to use,,,actively_maintained,https://opensource.org/licenses/MIT 
57,Pandoc,"Pandoc is a robust, multi-format document conversion tool that can read from and write to a vast number of file formats. Pandoc can work with a range of markup formats, markdown, word-processor files, and it supports integration with tools like LaTeX and reference managers, as well as a host of web-based formats. Several different input and exports formats for math are handled, including MathJax, LaTeX, and translation to MathML. Pandoc also includes a powerful system for automatic citations and bibliographies. Pandoc is usable as a command-line tool as well as an integrated library, and is used in several other publishing toolkits.",https://pandoc.org/,https://github.com/jgm/pandoc,,ubiquitous,tr9_actual_system_proven_in_operational_environment,not_classified,volunteer_community,pandoc,haskell,,,format_conversion,package,self-hosted,free to use,,,actively_maintained,https://www.gnu.org/licenses/gpl-3.0.html
58,Paperbuzz,"Paperbuzz is a tool that calculates metrics from Crossref Event Data: sharing, linking, and referencing articles online. Paperbuzz is developed and maintained by Our Research with the support of the Public Knowledge Project (PKP). Paperbuzz offers an API that is used by PaperbuzzViz, a JavaScript library to visualize the metrics and by the Paperbuzz OJS Plugin that brings these visualizations to OJS article pages, both of which are developed and maintained by PKP.",https://www.paperbuzz.org/,https://github.com/pkp/paperbuzz,,limited,tr9_actual_system_proven_in_operational_environment,not_classified,fiscal_sponsor_non_profit,paperbuzz,"php, smarty",,,metrics,component,,free to use,,,actively_maintained,
